Repeat,Rank,Feature,MRMRScore
5,73,3,0.00342121336344634
5,74,53,0.00335989729218086
5,75,101,0.00329577705056789
5,76,39,0.00326151141472333
5,77,93,0.00326151141472333
5,78,123,0.00322180081158594
5,79,97,0.00318332683534337
5,80,25,0.00317576624555739
5,81,9,0.00313336007977008
5,82,56,0.00310878985596302
5,83,113,0.00310878985596302
5,84,130,0.00308127894057281
5,85,82,0.00302410353219891
5,86,16,0.00298131369800566
5,87,95,0.00296806782879398
5,88,23,0.00293020927347396
5,89,89,0.00281158080555228
5,90,124,0.00274676386790669
5,91,52,0.00272236757473995
5,92,100,0.00266003043213035
5,93,38,0.00265765534067309
5,94,29,0.00260409458470506
5,95,86,0.00256280953219308
5,96,37,0.00254625053080975
5,97,85,0.00252783668454062
5,98,43,0.00252783668454062
5,99,115,0.00252424716928644
5,100,70,0.00241475718564644
5,101,83,0.00240169530418941
5,102,55,0.00234159047289418
5,103,129,0.00234159047289418
5,104,103,0.00232727190630773
5,105,126,0.0022807180724572
5,106,119,0.0022200824111817
5,107,108,0.00220283251142768
5,108,71,0.00216050603763973
5,109,117,0.00209781257405812
5,110,118,0.00204014227350684
5,111,104,0.00201506469793568
5,112,114,0.00183344824236977
5,113,54,0.00170679111401908
5,114,78,0.00167899357472811
5,115,125,0.00163406925552116
5,116,109,0.00157325864697042
5,117,79,0.0014009292686331
5,118,64,0.000699002786081849
5,119,90,0.000693819366992932
5,120,65,0.000608538619073037
5,121,102,0.000608538619073037
5,122,84,0.000572843373324999
5,123,57,0.000489987589999444
5,124,87,0.000385941607587452
5,125,91,0.000351383166913623
5,126,110,0
5,127,111,0
5,128,112,0
5,129,120,0
5,130,121,0
5,131,131,0
